Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Sheriff,Male,35,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,20,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,26,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,72,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Autumn
Municipal Police,Female,23,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Winter
Municipal Police,Male,33,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Sheriff,Male,23,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,25,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Sheriff,Male,26,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Spring
Sheriff,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Municipal Police,Male,23,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,32,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Male,59,Not Hispanic,Male,Hispanic,Non-Firearm,Acquaintance,South,Autumn
Municipal Police,Male,25,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Winter
Municipal Police,Female,23,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Municipal Police,Male,38,Not Hispanic,Female,Not Hispanic,Firearm,Lover,South,Spring
Municipal Police,Female,22,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Municipal Police,Male,23,Not Hispanic,Female,Not Hispanic,Firearm,Family,South,Autumn
Municipal Police,Male,44,Not Hispanic,Female,Not Hispanic,Non-Firearm,Lover,South,Autumn
Sheriff,Male,55,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Male,30,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,57,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Female,32,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
